link,query,name,industry,location,description,website,size,logo,specialities,yearFounded,linkedinID,employeesOnLinkedIn,RelatedCompany1LinkedInURL,RelatedCompany1Name,RelatedCompany1Sector,RelatedCompany1EmployeesRange,RelatedCompany2LinkedInURL,RelatedCompany2Name,RelatedCompany2Sector,RelatedCompany2EmployeesRange,RelatedCompany3LinkedInURL,RelatedCompany3Name,RelatedCompany3Sector,RelatedCompany3EmployeesRange,RelatedCompany4LinkedInURL,RelatedCompany4Name,RelatedCompany4Sector,RelatedCompany4EmployeesRange,RelatedCompany5LinkedInURL,RelatedCompany5Name,RelatedCompany5Sector,RelatedCompany5EmployeesRange,RelatedCompany6LinkedInURL,RelatedCompany6Name,RelatedCompany6Sector,RelatedCompany6EmployeesRange,timestamp
https://www.linkedin.com/company/woolworths/,https://www.linkedin.com/company/woolworths/,Woolworths,Retail,"Cape Town, Western Cape","The Difference.

At Woolworths, QUALITY is our DNA, it’s our philosophy, it’s how we’re wired. It’s what we do, and how we do it, since 1931. It’s our passion, our obsession and the promise we make to our customers and to each other.

We are a business led by our values, with every customer we serve, every product we sell, every decision we make, bringing quality to life. Our values inform and underpin the way we do business. From values based leadership to passionate brand advocacy, we seek to embed our values across all dimensions of our business.

At Woolies we offer a unique blend of food, fashion, beauty, homeware and financial services with the vision to be a leading fashion retailer in the Southern Hemisphere. We employ over 31 000 people in South Africa and over 43 000 people across the Group in South Africa, Africa and Australasia to transform this vision into reality.

Doing business responsibly, in the most transparent and ethical way, sits at the heart of the Woolworths business. Sustainability is one of our values as well as a strategic imperative. We rely on our employees to be the creative and innovative hub of our business through the integration of sustainability initiatives into everything we do. Through the collective efforts, commitment and support of our people, suppliers and customers we continue to make great progress on our journey to leave the world and our community in a better place than we found it. 


Specialties
Retail

Website
http://www.woolworths.co.za
Industry
Retail
Type
Public Company
Headquarters
93 Longmarket Street Cape Town, Western Cape 8000 South Africa
Company Size
10,001+ employees
Founded
1931",http://www.woolworths.co.za/,"10,001+ employees",https://media.licdn.com/dms/image/C510BAQFDX_1ZA_ve7g/company-logo_200_200/0?e=1548288000&v=beta&t=wjTLiYrZKLOPWewOsKDg4Mc77vEzjeE1CHjUlnmtzNw,Retail,1931,5246,17503,https://www.linkedin.com/company/pick-'n-pay/,Pick n Pay,,"10,001+ employees",https://www.linkedin.com/company/mr-price-group/,Mr Price Group,,"10,001+ employees",https://www.linkedin.com/company/foschini/,TFG (The Foschini Group),,"10,001+ employees",https://www.linkedin.com/company/woolworths-group/,Woolworths Group,,"10,001+ employees",https://www.linkedin.com/company/shoprite/,The Shoprite Group of Companies,,"10,001+ employees",https://www.linkedin.com/company/woolworths-supermarkets/,Woolworths Supermarkets,,"10,001+ employees",2018-10-23T06:11:53.409Z
https://www.linkedin.com/company/commonwealthbank/,https://www.linkedin.com/company/commonwealthbank/,Commonwealth Bank,Financial Services,"Sydney, NSW","Australia’s leading provider of financial services including retail, premium, business and institutional banking, funds management, superannuation, insurance, investment and sharebroking products and services. 
We are a business with more than 800,000 shareholders and over 52,000 employees. We offer a full range of financial services to help all Australians build and manage their finances.

Connect with us, we'd like to hear from you:

facebook.com/commonwealthbank
twitter.com/commbank
youtube.com/commbank
youtube.com/commbankbusiness
instagram.com/commbank",http://www.commbank.com.au/,"10,001+ employees",https://media.licdn.com/dms/image/C560BAQEO7OeEU-p0Eg/company-logo_200_200/0?e=1548288000&v=beta&t=ENi2rJ9_qzNMgH9d_qgEJcXTYv-UnYWbHY3_5RkLUlw,,,"2848,2850,2851,1150367,2847",33850,https://www.linkedin.com/company/national-australia-bank/,National Australia Bank,,"10,001+ employees",https://www.linkedin.com/company/anz/,ANZ,,"10,001+ employees",https://www.linkedin.com/company/westpac/,Westpac,,"10,001+ employees",https://www.linkedin.com/company/macquariegroup/,Macquarie Group,,"10,001+ employees",https://www.linkedin.com/company/telstra/,Telstra,,"10,001+ employees",https://www.linkedin.com/company/westpac-group/,Westpac Group,,"10,001+ employees",2018-10-23T06:11:56.205Z
https://www.linkedin.com/company/national-australia-bank/,https://www.linkedin.com/company/national-australia-bank/,National Australia Bank,Banking,"Melbourne, Victoria","We’re NAB. For 160 years, we’ve been helping customers with their money. 
Today, we have over 30,000 people serving over 9 million customers at more than 800 locations in Australia, New Zealand and around the world.
We know that to be Australia and New Zealand’s most respected bank, we need to be more than good with money.  We need to be just as good with people too.  

More than money. 

Connect with us:
facebook.com
nab twitter.com/nab 
youtube.com/nab 
plus.google.com/+nab",http://www.nab.com.au/,"10,001+ employees",https://media.licdn.com/dms/image/C4E0BAQE1rz180bOZUQ/company-logo_200_200/0?e=1548288000&v=beta&t=RWnCLCTqwielPduS57-w3JvakSOzjzNxHNwzn6-obNo,Retail & Wholesale Banking and Financial Products and Services,,"2357,6404962,3728278",28453,https://www.linkedin.com/company/commonwealthbank/,Commonwealth Bank,,"10,001+ employees",https://www.linkedin.com/company/anz/,ANZ,,"10,001+ employees",https://www.linkedin.com/company/westpac/,Westpac,,"10,001+ employees",https://www.linkedin.com/company/telstra/,Telstra,,"10,001+ employees",https://www.linkedin.com/company/macquariegroup/,Macquarie Group,,"10,001+ employees",https://www.linkedin.com/company/australia-post/,Australia Post,,"10,001+ employees",2018-10-23T06:11:58.898Z
https://www.linkedin.com/company/abb-grain-limited/,https://www.linkedin.com/company/abb-grain-limited/,ABB Grain Limited - page no longer active,Import and Export,Adelaide,"The ABB Grain Limited company page is no longer active.  
In 2009 ABB Grain Limited was purchased by Viterra.  If you would like further information on the activities of either Viterra or Glencore Grain please follow Viterra Australia or Glencore Grain.",http://www.viterra.com.au/,"1,001-5,000 employees","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,307260,92,https://www.linkedin.com/company/abb/,ABB,,"10,001+ employees",https://www.linkedin.com/company/abb-enterprise-software/,ABB Enterprise Software,,"10,001+ employees",https://www.linkedin.com/company/abbsolarinverters/,ABB Product Group Solar,,"10,001+ employees",https://www.linkedin.com/company/abb-ber-mac-e&i/,ABB Ber-Mac E&I,,"1,001-5,000 employees",https://www.linkedin.com/company/ingersoll-production-systems/,ABB Powertrain Systems,,"10,001+ employees",https://www.linkedin.com/company/abb-elektrik-sanayi-a.s./,ABB Elektrik Sanayi A.S.,,"501-1,000 employees",2018-10-23T06:12:00.518Z
https://www.linkedin.com/company/abc-learning-centres-nz-ltd/,https://www.linkedin.com/company/abc-learning-centres-nz-ltd/,ABC Learning Centres NZ Ltd,Education Management,,"ABC New Zealand is the premier private provider of early childhood education services across the non community-owned NZ ECE sector operating 127 centres under 171 licences.  

We have 84 centres in the North Island and 43 in the South Island.  

Each ABC centre offers a unique, nurturing environment where children will develop:

- early literacy and numeracy skills 
- a sense of well-being, belonging, confidence & independence 
- a love of learning and exploration 


More than 90% of our permanent teaching staff are either fully qualified with a Diploma or Bachelor of Teaching (ECE), or higher, or are in training for same.

We are a values-based organisation placing strong emphasis on nine company values:  Integrity, Leadership, Teamwork, Communication, Performance Excellence, Fun, Making a DIfference, Respect, and Partnership with Families/Whanau.",http://www.abcchildcare.co.nz/,"1,001-5,000 employees",https://media.licdn.com/dms/image/C4D0BAQHfj26F3us0yw/company-logo_200_200/0?e=1548288000&v=beta&t=OYmilKOHY8tsiUTaDBD8T0Kiurshg2DentGt74ZC1E8,,,1023753,36,https://www.linkedin.com/company/abc-learning-day-care-center/,ABC Learning Day Care Center,,11-50 employees,https://www.linkedin.com/company/kindercare-learning-centres-new-zealand/,Kindercare Learning Centres New Zealand,,"1,001-5,000 employees",https://www.linkedin.com/company/auckland-kindergarten-association/,Auckland Kindergarten Association,,"501-1,000 employees",https://www.linkedin.com/company/evolve-education-group/,Evolve Education Group,,"1,001-5,000 employees",https://www.linkedin.com/company/adventure-based-consulting-llc/,Adventure Based Consulting LLC,,2-10 employees,https://www.linkedin.com/company/adventure-based-learning-community-interest-company/,ADVENTURE BASED LEARNING COMMUNITY INTEREST COMPANY,,none,2018-10-23T06:12:02.142Z
https://www.linkedin.com/company/adam-tic/,https://www.linkedin.com/company/adam-tic/,Adam Datacenter | Housing - IaaS - Communications,Information Technology and Services,"Barcelona, Barcelona","Due to the irruption of new Cloud Computing  Technologies, the Internet of Things and Big Data, there is an uprising demand for new generation IT Services and Products. Nowadays, public and private organizations need flexible and agile IT solutions in order to meet their IT Requirements.

ADAM is a neutral Datacenter provider of Housing, IaaS, Communications y BackUp services with more than two decades of experience adding value to its customers'​ business critical IT Infrastructure. ADAM currently owns and operates three last generation Datacenters based on TIER III standards and DataBox format, incorporating leading technologies such as modular design and the Free Cooling.

27 years of experience, +1.200 Clients in the Public & Private Sectors, 3 self designed and managed Datacenters in property and a strong technical background combined with a customer-focused approach are our most valuable assets.",http://adam.es/,51-200 employees,https://media.licdn.com/dms/image/C560BAQHtsXyCe7Mn2Q/company-logo_200_200/0?e=1548288000&v=beta&t=0ub-hq3I0EfWGezd5IlrV_LhngDE0bhZC_XLm7GBCtA,"Data Center, IaaS, Redes MPLS, VPNs, Alojamiento de servidores críticos, Data Center secundario, Operador de Telefonía IP 100% SIP, VoIP, Servicios gestionados, Housing, Colocation, Cloud Computing, Comunicaciones, Infraestructura como Servicio, BackUp, DRS, and Colocation",1989,963034,34,https://www.linkedin.com/company/mdcloud/,Mediacloud,,51-200 employees,https://www.linkedin.com/company/capside/,CAPSiDE,,51-200 employees,https://www.linkedin.com/company/ricoh-espana-slu/,Ricoh España,,"1,001-5,000 employees",https://www.linkedin.com/company/nexica/,Nexica ☁️ Econocom Group,,51-200 employees,https://www.linkedin.com/company/datacenter/,Datacenter,,11-50 employees,https://www.linkedin.com/company/equinix-itconic/,Itconic,,201-500 employees,2018-10-23T06:12:04.217Z
https://www.linkedin.com/company/agl/,https://www.linkedin.com/company/agl/,AGL Energy,Utilities,"Sydney, NSW","AGL is committed to helping shape a sustainable energy future for Australia. 

We operate the country’s largest electricity generation portfolio, we’re its largest ASX-listed investor in renewable energy, and we have more than 3.6 million customer accounts. Proudly Australian, with more than 180 years of experience, we have a responsibility to provide sustainable, secure and affordable energy for our customers

Our diverse power generation portfolio includes base, peaking and intermediate generation plants, spread across traditional thermal generation, natural gas and storage, as well as renewable sources including hydro, wind, landfill gas, solar and biomass. 

Our aim is to prosper in a carbon-constrained world and build customer advocacy as our industry transforms. That’s why we have committed to exiting our coal-fired generation by 2050 and why we will continue to develop innovative solutions for our customers.

We take action to create energy solutions for the communities of today and tomorrow. Chat with us here or at Community.agl.com.au 

Here are our House Rules to help us help you: aglener.gy/socialhsrls",http://www.agl.com.au/,"1,001-5,000 employees",https://media.licdn.com/dms/image/C560BAQFD-nIUlHfDug/company-logo_200_200/0?e=1548288000&v=beta&t=apfWTfqrseVu3TXGHnpwPIi9v9FhP5HuXMWFQxqgK4s,"electricity, gas, solar, hydro energy, wind farms, and renewable energy",1837,6109,3465,https://www.linkedin.com/company/origin-energy/,Origin Energy,,"5,001-10,000 employees",https://www.linkedin.com/company/energyaustralia/,EnergyAustralia,,"1,001-5,000 employees",https://www.linkedin.com/company/jemena/,Jemena,,"1,001-5,000 employees",https://www.linkedin.com/company/alinta-energy/,Alinta Energy,,"501-1,000 employees",https://www.linkedin.com/company/santos-ltd/,Santos Ltd,,"1,001-5,000 employees",https://www.linkedin.com/company/red-energy/,Red Energy,,"501-1,000 employees",2018-10-23T06:12:06.670Z
https://www.linkedin.com/company/allphones/,https://www.linkedin.com/company/allphones/,Allphones,Telecommunications,,,http://www.allphones.com.au/,"501-1,000 employees","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,66510,189,https://www.linkedin.com/company/amt-group/,AMT Group,,201-500 employees,https://www.linkedin.com/company/all-phones-company/,All Phones Company,,11-50 employees,https://www.linkedin.com/company/vorian-investment-holdings-pty-limited/,Vorian Investment (Holdings) Pty Limited,,201-500 employees,https://www.linkedin.com/company/blue-wheelers-wash-clip-groom/,"Blue Wheelers Wash, Clip & Groom",,2-10 employees,https://www.linkedin.com/company/nidec-motor-corporation/,Nidec Motor Corporation,,"5,001-10,000 employees",https://www.linkedin.com/company/coinexchange/,Coinexchange,,2-10 employees,2018-10-23T06:12:08.358Z
https://www.linkedin.com/company/amcor/,https://www.linkedin.com/company/amcor/,Amcor,Packaging and Containers,"Melbourne, Victoria","We are a global leader in developing and producing high-quality, responsible packaging for a variety of food, beverage, pharmaceutical, medical-device, home- and personal-care and other products.  Amcor works with leading companies to protect their products and the people who rely on them, differentiate brands, and improve supply chains, through a range of flexible packaging, containers, cartons, closures and services.  Our 33,000 people generate more than US$9 billion sales from around 200 locations in 40-plus countries. Find out about Amcor's 2025 pledge for the planet: https://www.amcor.com/sustainability",http://www.amcor.com/,"10,001+ employees",https://media.licdn.com/dms/image/C4E0BAQH2Du-g39SCrg/company-logo_200_200/0?e=1548288000&v=beta&t=fj5CLn3Q_d9tUxyJO-6FCFMfkwHMP81YmOqMI6nOIPs,"A multinational packaging leader, Global presence, Packaging, Innovation, Sustainability, Product safety, Supply chain optimization, Branding, and E-commerce",1864,6311,9983,https://www.linkedin.com/company/amcor_2/,Amcor,,51-200 employees,https://www.linkedin.com/company/sonoco/,Sonoco,,"10,001+ employees",https://www.linkedin.com/company/constantia-flexibles/,Constantia Flexibles,,"5,001-10,000 employees",https://www.linkedin.com/company/amcorngo/,AMCOR,,none,https://www.linkedin.com/company/amcor-flexible/,Amcor Flexible,,11-50 employees,https://www.linkedin.com/company/bemis-company-inc-/,"Bemis Company, Inc.",,"10,001+ employees",2018-10-23T06:12:10.480Z
https://www.linkedin.com/company/amp/,https://www.linkedin.com/company/amp/,AMP,Financial Services,"Sydney, NSW","AMP was founded on a simple yet bold idea - that every individual should have the power and ability to control his or her life.

For more than 160 years, we've dedicated ourselves to making this possible. And while we've grown and changed over the decades, one thing has remained the same - our unwavering sense of purpose to help people own tomorrow.

Today we are the leading independent wealth management company in Australia and New Zealand, helping more than four million customers with:
- financial advice
- superannuation, retirement income and other investment products for individuals
- superannuation services for businesses
- administration, banking and investment services for self-managed super funds
- income protection, disability and life insurance
- selected banking products, and
- investments in shares, fixed interest, property, infrastructure, multi-manager and multi-asset funds.

For information on AMP products and services;

Australia: Visit amp.com.au or call 133 888 within Australia
New Zealand: Visit amp.co.nz or call 0800 267 111 within New Zealand
For AMP Capital products and services: Visit ampcapital.com.au or call 1800 658 404",http://www.amp.com.au/,"5,001-10,000 employees",https://media.licdn.com/dms/image/C560BAQEFqsw1CCTHTA/company-logo_200_200/0?e=1548288000&v=beta&t=kd1jhVoefJHhS-aKphhOyTgAsWGq1WeXb64ZrDQqj8w,"Financial Planning and Advice, Superannuation, Investments, and Risk and Insurance Products",1849,"4007,101825,26944,132145,2539695,2539690,624772",6866,https://www.linkedin.com/company/commonwealthbank/,Commonwealth Bank,,"10,001+ employees",https://www.linkedin.com/company/national-australia-bank/,National Australia Bank,,"10,001+ employees",https://www.linkedin.com/company/macquariegroup/,Macquarie Group,,"10,001+ employees",https://www.linkedin.com/company/anz/,ANZ,,"10,001+ employees",https://www.linkedin.com/company/westpac/,Westpac,,"10,001+ employees",https://www.linkedin.com/company/amp-capital/,AMP Capital,,"501-1,000 employees",2018-10-23T06:12:12.705Z
