link,query,name,industry,location,description,website,size,logo,specialities,yearFounded,linkedinID,employeesOnLinkedIn,RelatedCompany1LinkedInURL,RelatedCompany1Name,RelatedCompany1Sector,RelatedCompany1EmployeesRange,RelatedCompany2LinkedInURL,RelatedCompany2Name,RelatedCompany2Sector,RelatedCompany2EmployeesRange,RelatedCompany3LinkedInURL,RelatedCompany3Name,RelatedCompany3Sector,RelatedCompany3EmployeesRange,RelatedCompany4LinkedInURL,RelatedCompany4Name,RelatedCompany4Sector,RelatedCompany4EmployeesRange,RelatedCompany5LinkedInURL,RelatedCompany5Name,RelatedCompany5Sector,RelatedCompany5EmployeesRange,RelatedCompany6LinkedInURL,RelatedCompany6Name,RelatedCompany6Sector,RelatedCompany6EmployeesRange,timestamp
https://www.linkedin.com/company/wesfarmers,https://www.linkedin.com/company/wesfarmers,Wesfarmers,Retail,"Perth, WA","Wesfarmers — a diversified corporation

From its origins in 1914 as a Western Australian farmers'​ cooperative, Wesfarmers has grown into one of Australia's largest listed companies. With headquarters in Western Australia, its diverse business operations cover: supermarkets, liquor, hotels and convenience stores; home improvement; office supplies; department stores; and an industrials division with businesses in chemicals, energy and fertilisers, industrial and safety products and coal. Wesfarmers is one of Australia's largest private sector employers with around 220,000 employees and has a shareholder base of approximately 500,000.

The primary objective of Wesfarmers is to provide a satisfactory return to its shareholders.

The company aims to achieve this by:

* satisfying the needs of customers through the provision of goods and services on a competitive and professional basis;
* providing a safe and fulfilling working environment for employees, rewarding good performance and providing opportunities for advancement;
* contributing to the growth and prosperity of the countries in which it operates by conducting existing operations in an efficient manner and by seeking out opportunities for expansion;
* responding to the attitudes and expectations of the communities in which the company operates;
* placing a strong emphasis on protection of the environment; and
* acting with integrity and honesty in dealings both inside and outside the company.",http://www.wesfarmers.com.au/,"10,001+ employees",https://media.licdn.com/dms/image/C560BAQEru3hAx9DZpA/company-logo_200_200/0?e=1548288000&v=beta&t=MXg9X7gvX9kEob4Ssm6ySqiC5JDpEujVi1CtRfESsao,"diverse business operations cover: supermarkets, department stores, and home improvement and office supplies; coal mining; energy; chemicals and fertilisers; and industrial and safety products",1914,"38198,50626,319968,26776,163144,3574154,1431753,463370,1092686,22799,383546",26744,https://www.linkedin.com/company/wesfarmers-industrial-&-safety/,Wesfarmers Industrial and Safety,,"1,001-5,000 employees",https://www.linkedin.com/company/woolworths-group/,Woolworths Group,,"10,001+ employees",https://www.linkedin.com/company/coles/,Coles,,"10,001+ employees",https://www.linkedin.com/company/bunnings/,Bunnings,,"10,001+ employees",https://www.linkedin.com/company/blackwoods/,Blackwoods,,"1,001-5,000 employees",https://www.linkedin.com/company/bhp/,BHP,,"10,001+ employees",2018-10-23T03:42:56.959Z
https://www.linkedin.com/company/aerosonde,https://www.linkedin.com/company/aerosonde,Aerosonde,Aviation & Aerospace,"Notting Hill, Victoria","Aerosonde is a strategic business of AAI Corporation, an operating unit of Textron Systems, a Textron Inc. company. We bring small unmanned aircraft system capabilities to the military and scientific communities, both in the U.S. and internationally. 

Aerosonde’s headquarters, which also serves as the Aerosonde aircraft manufacturing facility, is located in Victoria, Australia. Final Aerosonde aircraft integration is accomplished at AAI in its Hunt Valley, Md location. Flight operations are conducted in Victoria, Australia, and at Wallops Flight Facility in the United States and at various customer sites.",http://www.aerosonde.com/,11-50 employees,https://media.licdn.com/dms/image/C4D0BAQHrWxBVpQm1sw/company-logo_200_200/0?e=1548288000&v=beta&t=zJZkj-AbniuL7cOboGbuinzfxPpgbAQpXiIpZJPmMgE,,1995,6671534,18,https://www.linkedin.com/company/textron-systems/,Textron Systems,,"5,001-10,000 employees",https://www.linkedin.com/company/textron/,Textron,,"10,001+ employees",https://www.linkedin.com/company/ninox-robotics/,Ninox Robotics,,11-50 employees,https://www.linkedin.com/company/aerosonde-north-america-inc-/,"Aerosonde North America, Inc.",,2-10 employees,https://www.linkedin.com/company/%C2%B5avionix-corporation/,uAvionix Corporation,,11-50 employees,https://www.linkedin.com/company/insitu-technologies-inc/,InSitu Technologies Inc.,,11-50 employees,2018-10-23T03:43:14.874Z
https://www.linkedin.com/company/alinta-energy,https://www.linkedin.com/company/alinta-energy,Alinta Energy,Utilities,"Sydney, NSW","Alinta Energy is a fast-growing Australian utility with an owned and contracted generation portfolio of ~ 2000 MW, approximately one million combined electricity and gas retail customers and over 700 employees across Australia and New Zealand. We have been supplying energy to customers in Australia for over 20 years. 

Alinta Energy is determined to make energy more affordable and play a positive role in the future of Australia.",http://www.alintaenergy.com.au/,"501-1,000 employees",https://media.licdn.com/dms/image/C560BAQGF1wNrkYHc2g/company-logo_200_200/0?e=1548288000&v=beta&t=CmcyBxOU0lho94JyvWRqaFdOpqxql7IAQIBQibUhDag,"Power Generation, Natural Gas Supply, Electricity Supply, Energy Trading, Business Energy, and Solar Panels",,777750,837,https://www.linkedin.com/company/agl/,AGL Energy,,"1,001-5,000 employees",https://www.linkedin.com/company/origin-energy/,Origin Energy,,"5,001-10,000 employees",https://www.linkedin.com/company/energyaustralia/,EnergyAustralia,,"1,001-5,000 employees",https://www.linkedin.com/company/jemena/,Jemena,,"1,001-5,000 employees",https://www.linkedin.com/company/horizon-power/,Horizon Power,,201-500 employees,https://www.linkedin.com/company/western-power/,Western Power,,"1,001-5,000 employees",2018-10-23T03:43:17.506Z
https://www.linkedin.com/company/bookworld-australia,https://www.linkedin.com/company/bookworld-australia,Angus & Robertson Bookworld,Retail,,"Angus & Robertson Bookworld combines one of Australia's most iconic brands, Angus & Robertson, with one of Australia's most exciting digital brands, Bookworld. 

With over half a million existing customers, great customer service and a fantastic range, Angus & Robertson Bookworld feeds the imagination of every kind of reader. 

We have millions of titles to choose from including an outstanding selection of Australian and international bestsellers, all the latest children’s books, and of course, all the most recommended business books. 

Better still, sign up as a Angus & Robertson Bookworld Citizen and you'll receive exclusive offers on a huge range of products and become part of the Angus & Robertson Bookworld community where you'll have an exclusive backstage pass to the world of books. 

Angus & Robertson opened its first store in 1886, and despite Bookworld only being around since 2012, we're incredibly proud to have won several major industry awards, including:

2015:
ORIAs
Finalist - Best Mobile Commerce Site/Application

2014:
2014 Power Retail Top 100
Named in Top 100 Online Retailers 

ORIAs
Winner - Best Social Media Initiative
Winner - Best Online Retail Marketing Initiative

BEFest Awards
Winner - Best Use of Experiential Marketing

Locus Awards
Winner - Best Retail Outlet
Winner - Experiential Campaign of the Year

Media Federation Awards
Winner - Clothing/Cosmetics & Retail Category 

2013: 
ORIAs
Finalist - Best New Online Retailer
Finalist - Best Online Retails Marketing Initiative

SmartCompany
Winner - Best Use of Social Media",http://www.angusrobertson.com.au/,51-200 employees,https://media.licdn.com/dms/image/C560BAQEuWzo110DQHg/company-logo_200_200/0?e=1548288000&v=beta&t=4DgNa4oxPXNg-uzYq2dJKbKJuTM1G9NosmuEBoWNI1A,"Exclusive Offers for Citizens, Fast delivery on every purchase, Great customer service, and Huge range of eBooks",1886,2926029,9,https://www.linkedin.com/company/angus-&-robertson/,Angus & Robertson,,"501-1,000 employees",https://www.linkedin.com/company/dymocks/,Dymocks Books,,"501-1,000 employees",https://www.linkedin.com/company/booktopia/,Booktopia,,51-200 employees,https://www.linkedin.com/company/qbd-the-bookshop/,QBD The Bookshop,,201-500 employees,https://www.linkedin.com/company/penguin-random-house-publishing/,Penguin Random House,,"10,001+ employees",https://www.linkedin.com/company/dymocks-group/,Dymocks Group,,201-500 employees,2018-10-23T03:43:18.947Z
https://www.linkedin.com/company/ansell-healthcare,https://www.linkedin.com/company/ansell-healthcare,Ansell,Consumer Goods,"Iselin, New Jersey","Ansell is a world leader in providing superior health and safety protection solutions that enhance human well-being. The world’s need for better protection never stops, so Ansell is constantly researching, developing and investing to manufacture and distribute cutting edge product innovation and technology, marketed under well-known brands that customers trust.

Operating in two main business segments, Industrial and Healthcare, Ansell is the market leader that continues to grow, employing 13,000 people worldwide. With operations in North America, Latin America/Caribbean, EMEA and Asia Pacific, customers in more than 100 countries around the world trust Ansell and its protection solutions. 

Ansell has four main operational headquarters in Iselin, NJ, USA, Brussels, Belgium, and CyberJaya, Malaysia, and its registered office is in Melbourne, Australia. Ansell Limited is a public Australian Company with its listing on the Australian Stock Exchange (ASX:ANN).",http://www.ansell.com/,"10,001+ employees",https://media.licdn.com/dms/image/C510BAQELQl_ZHE_QYA/company-logo_200_200/0?e=1548288000&v=beta&t=BY6_rKUqSFU-XPcDNlh5HAqiP50e5gS_RyqDe1CTkLU,"#1 in multi use industrial gloves, #1 in branded single use gloves, and #1 in surgical gloves",1905,9796,3115,https://www.linkedin.com/company/3m/,3M,,"10,001+ employees",https://www.linkedin.com/company/johnson-&-johnson/,Johnson & Johnson,,"10,001+ employees",https://www.linkedin.com/company/honeywell/,Honeywell,,"10,001+ employees",https://www.linkedin.com/company/lifestyles-healthcare/,LifeStyles Healthcare,,"1,001-5,000 employees",https://www.linkedin.com/company/ansell-health-care/,Ansell Health Care,,11-50 employees,https://www.linkedin.com/company/unilever/,Unilever,,"10,001+ employees",2018-10-23T03:43:20.997Z
https://www.linkedin.com/company/appliances-online,https://www.linkedin.com/company/appliances-online,Appliances Online,Retail,,"John Winning was working in his family's century-old bricks and mortar retail business, Winning Appliances, when he saw the growth opportunity to sell whitegoods online. Despite John's enthusiasm for appliances, his family did not believe online retail could be successful, and in 2005 at just 21 years of age, John set out with a $50,000 business loan and founded a stand-alone online retail business.
 
Appliances Online catered to a growing market of Australians looking for an efficient, streamlined shopping experience that's affordable, convenient and hassle-free. Although the site initially catered to time-poor consumers looking for a replacement item in the Sydney area, the business'​ customer base has evolved to include builders, real estate property managers and renovators from all across Australia.
Expansion has occurred at every level of the business. 

Appliances Online now employs over 250 people and operates nationally via its own trucks and centralised warehouses in NSW, VIC, QLD, SA, WA, NT and satellite warehouses in Heatherbrae and Canberra.
 
Appliances Online’s investment in customer service, technology and logistics has allowed for complete end-to-end service. Something which has been recognised and awarded nationally and internationally, when Appliances Online was awarded with Best Customers Service by the World Retail Awards in 2014. Providing exceptional customer service has been the driving force behind the success and rapid growth of the online retailer, which is now arguably one of Australia's most successful online start-ups.",http://www.appliancesonline.com.au/,201-500 employees,https://media.licdn.com/dms/image/C510BAQFUChNMsJC6gw/company-logo_200_200/0?e=1548288000&v=beta&t=qc9L_JUXmZchH15D8rPPntQ0E-fZYiFEhlKImBJbpCg,Ecommerce,2005,10634233,50,https://www.linkedin.com/company/winning-group/,Winning Group,,"501-1,000 employees",https://www.linkedin.com/company/winning-appliances/,Winning Appliances,,51-200 employees,https://www.linkedin.com/company/ao-com/,ao.com,,"1,001-5,000 employees",https://www.linkedin.com/company/winning-commercial/,Winning Commercial,,11-50 employees,https://www.linkedin.com/company/appliances-online-commercial-division/,Appliances Online Commercial Division,,"501-1,000 employees",https://www.linkedin.com/company/appliances-online-ltd/,APPLIANCES ONLINE LTD,,none,2018-10-23T03:43:22.590Z
https://www.linkedin.com/company/aristocrat,https://www.linkedin.com/company/aristocrat,Aristocrat,Gambling & Casinos,"North Ryde, NSW","Aristocrat Leisure Limited is an ASX50 listed company and one of the world’s leading providers of gaming solutions. We’re licensed in 240 gaming jurisdictions and operate in 90 countries around the world, with a team of over 3500 employees who deliver outstanding results by pushing the boundaries of innovation, creativity and technology. 

We are driven by a desire to create the world’s greatest gaming experience, every day. We offer a diverse range of products and services, including electronic gaming machines, social gaming and casino management systems. But despite our global presence and exponential growth, we remain an ideas company at heart, committed to entertaining the world one game at a time.",http://www.aristocrat.com/,"1,001-5,000 employees",https://media.licdn.com/dms/image/C4D0BAQFIouKOeF9vIg/company-logo_200_200/0?e=1548288000&v=beta&t=oXsWV957DguITf7NxkL7yBUCyXrfBfvMyqZousA34hg,,1953,"162514,14841,1910914",3607,https://www.linkedin.com/company/scientific-games/,Scientific Games,,"10,001+ employees",https://www.linkedin.com/company/bally-technologies/,Bally Technologies,,"1,001-5,000 employees",https://www.linkedin.com/company/ainsworth-game-technology/,Ainsworth Game Technology,,201-500 employees,https://www.linkedin.com/company/wms-gaming/,WMS Gaming,,"1,001-5,000 employees",https://www.linkedin.com/company/igt/,IGT,,"10,001+ employees",https://www.linkedin.com/company/konami-gaming-inc-/,"Konami Gaming, Inc.",,201-500 employees,2018-10-23T03:43:24.287Z
https://www.linkedin.com/company/aurizon,https://www.linkedin.com/company/aurizon,Aurizon,Transportation/Trucking/Railroad,"Fortitude Valley, Queensland","Aurizon is Australia’s largest rail-based freight operator and a top 100 ASX-listed company. Each year, we transport more than 250 million tonnes of Australian commodities, connecting miners, primary producers, and industry with international and domestic markets. We provide customers with integrated freight and logistics solutions across an extensive national rail and road network, traversing Australia. So no matter whether it’s turning on a light bulb or bringing home the groceries, the chances are we have played a part in delivering your everyday life.
 
In addition to transportation, we own and operate one of the world’s largest coal rail networks with 2,700 kilometres of heavy haul rail infrastructure connecting mining customers in the Queensland coalfields with key ports. Our Operations business provides a range of specialist services to service the industry including rail design engineering, construction, management and maintenance and we offer large scale supply chain solutions to a diverse range of customers Australia-wide. 

While we’re incredibly proud of the work we do every day, we believe that our job isn’t just about transporting freight, it’s also about providing for our employees and transforming the communities where we live and work. That’s why we constantly strive to deliver a dynamic environment for our people and actively encourage equal opportunity employment in all areas of our business. It’s also why we support local charities and community groups at every level. Because we don’t just deliver freight, we deliver opportunity and value sustainability.

Aurizon is a major contributor in the Australian economy, and we are well-placed to benefit from the continued long-term international demand for resources. As such we look forward to sharing our continued growth with our customers, employees, shareholders, our communities and the nation as a whole.

For more information visit www.aurizon.com.au.",http://www.aurizon.com.au/,"5,001-10,000 employees",https://media.licdn.com/dms/image/C4E0BAQG25eCdL2WfWA/company-logo_200_200/0?e=1548288000&v=beta&t=QDU_PHdE9wqVjW2jmAXOY9yG5C8kJt8ampCo4bAIsPg,"Rail Design, Rail Infrastructure, Supply Chain, Freight, Logistics, and Engineering",2010,1073775,3497,https://www.linkedin.com/company/pacific-national/,Pacific National,,"1,001-5,000 employees",https://www.linkedin.com/company/queensland-rail/,Queensland Rail,,"5,001-10,000 employees",https://www.linkedin.com/company/bhp/,BHP,,"10,001+ employees",https://www.linkedin.com/company/artc/,ARTC,,"1,001-5,000 employees",https://www.linkedin.com/company/asciano-limited/,Asciano,,"5,001-10,000 employees",https://www.linkedin.com/company/rio-tinto/,Rio Tinto,,"10,001+ employees",2018-10-23T03:43:26.455Z
https://au.linkedin.com/company/australia-and-new-zealand-banking-group-limited-anz-?trk=ppro_cprof,https://au.linkedin.com/company/australia-and-new-zealand-banking-group-limited-anz-?trk=ppro_cprof,Australia And New Zealand Banking Group Limited (Anz),Banking,"Mumbai, Maharashtra",,,51-200 employees,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,33997409,2,,,,,,,,,,,,,,,,,,,,,,,,,2018-10-23T03:43:27.903Z
https://www.linkedin.com/company/aaco,https://www.linkedin.com/company/aaco,AACo,Food Production,"Newstead, QLD","Established in 1824, the Australian Agricultural Company (AACo) is Australia’s largest integrated cattle and beef producer, and is the oldest continuously operating company in Australia.

Today, AACo owns and operates a strategic balance of properties, feedlots and farms comprising around 7 million hectares of land in Queensland and the Northern Territory. This equates to roughly 1% of Australia’s land mass.

AACo specialises in grass fed beef, grain fed beef and Wagyu beef production.",http://www.aaco.com.au/,"501-1,000 employees",https://media.licdn.com/dms/image/C4D0BAQFxObb0hJgoFA/company-logo_200_200/0?e=1548288000&v=beta&t=r_8-CFgsBGnMUXr4u8a5tX4UqQz7E_OCIxuevZx3EWY,"Grassfed Beef, Cattle Production, Sustainable Resource Use, Vertically Integrated Red Meat Supply Chain, Agribusiness, Grainfed Beef, Wagyu Beef, Beef Export, and Food production",1824,1010824,441,https://www.linkedin.com/company/meat-and-livestock-australia/,Meat & Livestock Australia,,51-200 employees,https://www.linkedin.com/company/teys-bros/,Teys Australia,,"1,001-5,000 employees",https://www.linkedin.com/company/jbs-swift-australia/,JBS Swift Australia,,"10,001+ employees",https://www.linkedin.com/company/aus-meat-limited/,AUS-MEAT Limited,,51-200 employees,https://www.linkedin.com/company/consolidated-pastoral-company-pty-ltd/,Consolidated Pastoral Company Pty Ltd (CPC),,201-500 employees,https://www.linkedin.com/company/jbs-australia/,JBS Australia Pty Limited,,"10,001+ employees",2018-10-23T03:43:30.759Z
